name	result	time_in_seconds	nationality	year
Paolo Bettini	1	22536	Italy	2006
Erik Zabel	2	0	Germany	2006
Alejandro Valverde	3	0	Spain	2006
Samuel Sanchez	4	2	Spain	2006
Robbie McEwen	5	2	Australia	2006
Stuart O'Grady	6	2	Australia	2006
Uros Murn	7	2	Slovenia	2006
Alexandre Botcharov	8	2	Russia	2006
Tom Boonen	9	2	Belgium	2006
Vladimir Gusev	10	2	Russia	2006
Bernhard Eisel	11	2	Austria	2006
Nicki Sørensen	12	2	Denmark	2006
Kurt-Asle Arvesen	13	2	Norway	2006
Martin Elmiger	14	2	Switzerland	2006
Fred Rodriguez	15	2	United States	2006
Karsten Kroon	16	2	Netherlands	2006
Marcus Ljungqvist	17	2	Sweden	2006
Rene Haselbacher	18	2	Austria	2006
Laszlo Bodrogi	19	2	France	2006
Gerben Lowik	20	2	Netherlands	2006
Stefan Schumacher	21	2	Germany	2006
Steffen Wesemann	22	2	Switzerland	2006
Christophe Le Mevel	23	2	France	2006
Anthony Geslin	24	2	France	2006
Andrey Kashechkin	25	2	Kazakhstan	2006
Alexandr Kolobnev	26	2	Russia	2006
Matija Kvasina	27	2	Croatia	2006
Michael Boogerd	28	2	Netherlands	2006
Frank Schleck	29	2	Luxembourg	2006
Moises Antonio Aldape	30	2	Mexico	2006
Fabian Cancellara	31	2	Switzerland	2006
Gorazd Stangelj	32	2	Slovenia	2006
Nuno Ribeiro	33	2	Portugal	2006
Danilo Di Luca	34	2	Italy	2006
David Millar	35	2	Great Britain	2006
Xavier Florencio	36	2	Spain	2006
Gregory Rast	37	2	Switzerland	2006
Luca Paolini	38	2	Italy	2006
David George	39	2	South Africa	2006
Cadel Evans	40	2	Australia	2006
Rui Sousa	41	2	Portugal	2006
Sergio Miguel Paulinho	42	2	Portugal	2006
Vladimir Karpets	43	2	Russia	2006
Alexander Arekeev	44	2	Russia	2006
Sylvain Chavanel	45	2	France	2006
Tadej Valjavec	46	15	Slovenia	2006
Chris Horner	47	15	United States	2006
Davide Rebellin	48	15	Italy	2006
Carlos Sastre	49	15	Spain	2006
Michael Rogers	50	15	Australia	2006
Filippo Pozzato	51	15	Italy	2006
Alexandre Vinokourov	52	15	Kazakhstan	2006
Serguei Yakovlev	53	34	Kazakhstan	2006
Fabian Wegmann	54	56	Germany	2006
Marlon Alirio Perez	55	85	Colombia	2006
Kanstantsin Siutsou	56	85	Belarus	2006
Raivis Belohvosciks	57	113	Latvia	2006
Jose Carlos Silva Rodrigues	58	113	Portugal	2006
Radoslav Rogina	59	113	Croatia	2006
Jan Valach	60	113	Slovakia	2006
Alexandre Usov	61	113	Belarus	2006
Roger Hammond	62	113	Great Britain	2006
Ruslan Pidgornyy	63	113	Ukraine	2006
Dainius Kairelis	64	113	Lithuania	2006
Georg Totschnig	65	113	Austria	2006
Stijn Devolder	66	113	Belgium	2006
Max van Heeswijk	67	113	Netherlands	2006
Christian Vande Velde	68	113	United States	2006
Aurelien Clerc	69	113	Switzerland	2006
Cyril Dessel	70	113	France	2006
Sebastien Joly	71	113	France	2006
Joaquim Rodriguez	72	113	Spain	2006
Michael Albasini	73	113	Switzerland	2006
Lars Ytting Bak	74	113	Denmark	2006
Yaroslav Popovych	75	113	Ukraine	2006
Nick Nuyens	76	113	Belgium	2006
Borut Bozic	77	122	Slovenia	2006
Erki Putsep	78	213	Estonia	2006
Alexandre Bazhenov	79	223	Russia	2006
Przemys?aw Niemiec	80	223	Poland	2006
Daniel Bogomilov Petrov	81	223	Bulgaria	2006
Jurgen Van Goolen	82	379	Belgium	2006
Martin Riska	83	379	Slovakia	2006
Kjell Carlstrom	84	379	Finland	2006
Matej Mugerli	85	379	Slovenia	2006
Nelson Nuno Vitorino	86	379	Portugal	2006
Roman Kreuziger	87	379	Czech Republic	2006
Alessandro Ballan	88	379	Italy	2006
Simon Gerrans	89	379	Australia	2006
Vladimir Efimkin	90	379	Russia	2006
Bram Tankink	91	379	Netherlands	2006
Philippe Gilbert	92	379	Belgium	2006
Thomas Voeckler	93	379	France	2006
Sylvain Calzati	94	379	France	2006
Alexander Efimkin	95	379	Russia	2006
Robert Hunter	96	379	South Africa	2006
Beat Zberg	97	379	Switzerland	2006
Alexei Markov	98	379	Russia	2006
Christian Knees	99	379	Germany	2006
Mathew Hayman	100	379	Australia	2006
Mauricio Alberto Ardila	101	379	Colombia	2006
Jonathan Patrick McCarty	102	379	United States	2006
Oliver Zaugg	103	379	Switzerland	2006
Tomas Buchacek	104	379	Czech Republic	2006
David Loosli	105	379	Switzerland	2006
Patrik Sinkewitz	106	379	Germany	2006
Guido Trenti	107	379	United States	2006
Janez Brajkovic	108	379	Slovenia	2006
Francisco Jose Ventoso	109	379	Spain	2006
Luis Perez	110	379	Spain	2006
Vladimir Zagorodnii	111	379	Russia	2006
Andrey Grivko	112	379	Ukraine	2006
Gabriel Rasch	113	379	Norway	2006
Thor Hushovd	114	379	Norway	2006
Inigo Cuesta	115	419	Spain	2006
NULL	116	419	NULL	2006
Christian Pfannberger	117	419	Austria	2006
Danny Pate	118	419	United States	2006
Marzio Bruseghin	119	419	Italy	2006
David McCann	120	525	Ireland	2006
Petr Bencik	121	525	Czech Republic	2006
Matej Jurco	122	525	Slovakia	2006
Tomasz Marczynski	123	525	Poland	2006
Fumiyuki Beppu	124	525	Japan	2006
Allan Johansen	125	525	Denmark	2006
Roman Bronis	126	818	Slovakia	2006
Matthew White	DNF	0	Australia	2006
Bradley McGee	DNF	0	Australia	2006
Nick Gates	DNF	0	Australia	2006
Felix Rafael Cardenas	DNF	0	Colombia	2006
Juan Mauricio Soler	DNF	0	Colombia	2006
Alex Cano	DNF	0	Colombia	2006
Luis Felipe Laverde	DNF	0	Colombia	2006
Ryder Hesjedal	DNF	0	Canada	2006
Stephan Schreck	DNF	0	Germany	2006
Marcel Sieberg	DNF	0	Germany	2006
Ronny Scholz	DNF	0	Germany	2006
Linus Gerdemann	DNF	0	Germany	2006
Aleksandr Kuschynski	DNF	0	Belarus	2006
Jorge Martin Montenegro	DNF	0	Spain	2006
Gerardo Luis Fernandez	DNF	0	Argentina	2006
Julio Alberto Perez Cuapio	DNF	0	Mexico	2006
Russell Downing	DNF	0	Great Britain	2006
Christopher Baldwin	DNF	0	United States	2006
Jackson Stewart	DNF	0	United States	2006
Tyler Farrar	DNF	0	United States	2006
Kyrylo Pospyeyev	DNF	0	Ukraine	2006
Volodymyr Starchyk	DNF	0	Ukraine	2006
Rabaki Jeremie Ouedraogo	DNF	0	Burkina Faso	2006
Saidou Rouamba	DNF	0	Burkina Faso	2006
Abdul Wahab Sawadogo	DNF	0	Burkina Faso	2006
Tiaan Kannemeyer	DNF	0	South Africa	2006
Ian McLeod	DNF	0	South Africa	2006
Darren Lill	DNF	0	South Africa	2006
Aleksejs Saramotins	DNF	0	Latvia	2006
Jose Humberto Rujano	DNF	0	Venezuela	2006
Jose Antonio Ramos	DNF	0	Venezuela	2006
Manuel Eduardo Medina	DNF	0	Venezuela	2006
Shinichi Fukushima	DNF	0	Japan	2006
Hidenori Nodera	DNF	0	Japan	2006
Marcio May	DNF	0	Brazil	2006
Murilo Antonio Fischer	DNF	0	Brazil	2006
Pedro Nicacio	DNF	0	Brazil	2006
Soelito Gohr	DNF	0	Brazil	2006
Luciano Andre Pagliarini	DNF	0	Brazil	2006
Jose Adrian Bonilla	DNF	0	Costa Rica	2006
Krzysztof Szczawinski	DNF	0	Poland	2006
Marek Rutkiewicz	DNF	0	Poland	2006
Robert Radosz	DNF	0	Poland	2006
Tomasz Kiendys	DNF	0	Poland	2006
Mart Ojavee	DNF	0	Estonia	2006
Tarmo Raudsepp	DNF	0	Estonia	2006
Stanislav Kozubek	DNF	0	Czech Republic	2006
Martin Mares	DNF	0	Czech Republic	2006
Frantisek Rabon	DNF	0	Czech Republic	2006
Danail Andonov Petrov	DNF	0	Bulgaria	2006
Svetoslav Kirilov Tchanliev	DNF	0	Bulgaria	2006
Hrvoje Miholjevic	DNF	0	Croatia	2006
NULL	DNF	0	NULL	2006
Philip Deignan	DNF	0	Ireland	2006
Nicolas Roche	DNF	0	Ireland	2006
Juan Antonio Flecha	DNF	0	Spain	2006
Rinaldo Nocentini	DNF	0	Italy	2006
Matteo Tosatto	DNF	0	Italy	2006
Sebastien Hinault	DNF	0	France	2006
Samuel Dumoulin	DNF	0	France	2006
Maarten Tjallingii	DNF	0	Netherlands	2006
Joost Posthuma	DNF	0	Netherlands	2006
Jan Boven	DNF	0	Netherlands	2006
Bram de Groot	DNF	0	Netherlands	2006
NULL	DNF	0	NULL	2006
Kevin Hulsmans	DNF	0	Belgium	2006
Thierry Marichal	DNF	0	Belgium	2006
Leif Hoste	DNF	0	Belgium	2006
Martin Prazdnovsky	DNF	0	Slovakia	2006
Maros Kovac	DNF	0	Slovakia	2006
Peter Wrolich	DNF	0	Austria	2006
Bernhard Kohl	DNF	0	Austria	2006
