name	result	time_in_seconds	nationality	year
Judith Arndt	1	2227	Germany	2011
Linda Villumsen	2	21	New Zealand	2011
Emma Pooley	3	24	Great Britain	2011
Tara Whitten	4	26	Canada	2011
Clara Hughes	5	36	Canada	2011
Ellen van Dijk	6	38	Netherlands	2011
Rhae-Christie Shaw	7	39	Canada	2011
Amber Neben	8	41	United States	2011
Emilia Fahlin	9	55	Sweden	2011
Marianne Vos	10	55	Netherlands	2011
Ina-Yoko Teutenberg	11	56	Germany	2011
Shara Marche	12	60	Australia	2011
Elena Tchalykh	13	60	Azerbaijan	2011
Emma Johansson	14	61	Sweden	2011
Evelyn Stevens	15	81	United States	2011
Olga Zabelinskaya	16	85	Uzbekistan	2011
Julia Shaw	17	109	Great Britain	2011
Noemi Cantele	18	118	Italy	2011
Pascale Schnider	19	118	Switzerland	2011
Pia Sundstedt	20	121	Finland	2011
Melodie Lesueur	21	124	France	2011
Aleksandra Sosenko	22	128	Lithuania	2011
Olena Pavlukhina	23	139	Azerbaijan	2011
Latoya Brulee	24	149	Belgium	2011
Grete Treier	25	153	Estonia	2011
Leire Olaberria	26	162	Spain	2011
Christel Ferrier-Bruneau	27	165	Canada	2011
Martina Sablikova	28	177	Czech Republic	2011
Alexandra Burchenkova	29	181	Russia	2011
Ashleigh Moolman	30	187	South Africa	2011
Taryn Heather	31	188	Australia	2011
Elisa Longo Borghini	32	193	Italy	2011
Michelle Lauge Jensen	33	199	Denmark	2011
Tjasa Rutar	34	200	Slovenia	2011
Eneritz Iturriaga	35	208	Spain	2011
Alena Amialiusik	36	209	Belarus	2011
Katazyna Sosna	37	213	Lithuania	2011
Liesbet De Vocht	38	224	Belgium	2011
Valeria Muller	39	232	Argentina	2011
Chanpeng Nontasin	40	239	Thailand	2011
Tetyana Riabchenko	41	240	Ukraine	2011
Veronica Leal	42	247	Mexico	2011
Alenka Novak	43	252	Slovenia	2011
Kathryn Bertine	44	257	Saint Kitts en Nevis	2011
Chapookam Monrudee	45	261	Thailand	2011
Jacqueline Hahn	46	288	Austria	2011
Siew Kheng Dinah Chan	47	296	Singapore	2011
Yelena Antonova	48	321	Kazakhstan	2011
Martina Ruzickova	49	346	Czech Republic	2011
Seba Alraai	50	580	Syria	2011
Claire Louise Fraser	51	585	Guyana	2011
