name	result	time_in_seconds	nationality	year
Vasil Kiryienka	1	3749	Belarus	2015
Adriano Malori	2	9	Italy	2015
Jerome Coppel	3	26	France	2015
Jonathan Castroviejo	4	29	Spain	2015
Tom Dumoulin	5	61	Netherlands	2015
Rohan Dennis	6	67	Australia	2015
Tony Martin	7	76	Germany	2015
Maciej Bodnar	8	77	Poland	2015
Marcin Bia?ob?ocki	9	82	Poland	2015
Moreno Moser	10	91	Italy	2015
Jan Barta	11	94	Czech Republic	2015
Taylor Phinney	12	96	United States	2015
Nelson Oliveira	13	112	Portugal	2015
Steve Cummings	14	118	Great Britain	2015
Michael Hepburn	15	119	Australia	2015
Matthias Brandle	16	119	Austria	2015
Alex Dowsett	17	126	Great Britain	2015
Jurgen Van den Broeck	18	135	Belgium	2015
Stefan Kung	19	137	Switzerland	2015
Luke Durbridge	20	138	Australia	2015
Rasmus Quaade	21	139	Denmark	2015
Lawson Craddock	22	147	United States	2015
Wilco Kelderman	23	151	Netherlands	2015
Andrey Grivko	24	152	Ukraine	2015
Hugo Houle	25	155	Canada	2015
Luis Leon Sanchez	26	165	Spain	2015
Kanstantsin Siutsou	27	167	Belarus	2015
Gatis Smukulis	28	176	Latvia	2015
Rein Taaramae	29	176	Estonia	2015
Silvan Dillier	30	176	Switzerland	2015
Yves Lampaert	31	179	Belgium	2015
Tanel Kangert	32	181	Estonia	2015
Ilnur Zakarin	33	187	Russia	2015
Daniil Fominykh	34	193	Kazakhstan	2015
Jesse Sergent	35	193	New Zealand	2015
Alexey Lutsenko	36	203	Kazakhstan	2015
Vegard Stake Laengen	37	205	Norway	2015
Gustav Erik Larsson	38	205	Sweden	2015
Aleksejs Saramotins	39	206	Latvia	2015
Ramunas Navardauskas	40	210	Lithuania	2015
Tobias Ludvigsson	41	210	Sweden	2015
Andreas Vangstad	42	223	Norway	2015
Sam Bewley	43	224	New Zealand	2015
Ryan Roth	44	231	Canada	2015
Christopher Juul-Jensen	45	235	Denmark	2015
Romain Sicard	46	236	France	2015
Alexandr Pliuschin	47	240	Moldova	2015
Lukas Postlberger	48	258	Austria	2015
Mekseb Debesay	49	260	Eritrea	2015
Gediminas Bagdonas	50	260	Lithuania	2015
Rigoberto Uran	51	280	Colombia	2015
Nikias Arndt	52	287	Germany	2015
Petr Vakoc	53	301	Czech Republic	2015
Serghei Tvetcov	54	338	Romania	2015
Polychronis Tzortzakis	55	347	Greece	2015
Manuel Rodas	56	353	Guatemala	2015
Tuulkhangai Tuguldur	57	405	Mongolia	2015
Neofytos Sakellaridis	58	425	Greece	2015
Muradjan Halmuratov	59	426	Uzbekistan	2015
Segundo Navarrete	60	530	Ecuador	2015
Ahmed Albourdainy	61	585	Qatar	2015
David Albos Cavaliere	62	715	Andorra	2015
Gorgi Popstefanov	63	785	United States	2015
Juan Martinez	64	823	Puerto Rico	2015
Carlos Eduardo Quishpe	65	841	Ecuador	2015
Norlandy Taveras	DNS	0	Dominican Republic	2015
Rafael Adolfo German	DNS	0	Dominican Republic	2015
Nikolay Mihaylov	DNS	0	Bulgaria	2015
Adrien Niyonshuti	DNS	0	Rwanda	2015
Artem Ovechkin	DNS	0	Russia	2015
