name	result	time_in_seconds	nationality	year
Amalie Dideriksen	1	11427	Denmark	2016
Kirsten Wild	2	0	Netherlands	2016
Lotta Henttala	3	0	Finland	2016
Elizabeth Deignan	4	0	Great Britain	2016
Marta Bastianelli	5	0	Italy	2016
Roxane Fournier	6	0	France	2016
Chloe Hosking	7	0	Australia	2016
Sheyla Gutierrez	8	0	Spain	2016
Joelle Numainville	9	0	Canada	2016
Jolien d'Hoore	10	0	Belgium	2016
Emilie Moberg	11	0	Norway	2016
Lisa Brennauer	12	0	Germany	2016
Katarzyna Pawlowska	13	0	Poland	2016
Leah Kirchmann	14	0	Canada	2016
Christine Majerus	15	0	Luxembourg	2016
Coryn Labecki	16	0	United States	2016
Sara Mustonen	17	0	Sweden	2016
Mia Radotic	18	0	Croatia	2016
Rasa Leleivyte	19	0	Lithuania	2016
Barbara Guarischi	20	4	Italy	2016
Miho Yoshikawa	21	4	Japan	2016
Marianne Vos	22	4	Netherlands	2016
Alison Jackson	23	4	Canada	2016
Jelena Eric	24	4	Serbia	2016
Barbora Prudkova	25	4	Czech Republic	2016
Ashleigh Moolman	26	4	South Africa	2016
Megan Guarnier	27	4	United States	2016
Christina Perchtold	28	4	Austria	2016
Carmen Small	29	4	United States	2016
Alexis Ryan	30	4	United States	2016
Eugenia Bujak	31	4	Slovenia	2016
Amy Pieters	32	4	Netherlands	2016
Polona Batagelj	33	4	Slovenia	2016
Alena Amialiusik	34	4	Belarus	2016
Katarzyna Niewiadoma	35	4	Poland	2016
Maria Giulia Confalonieri	36	4	Italy	2016
Aude Biannic	37	12	France	2016
Nicolle Bruderer	38	12	Guatemala	2016
Katrine Aalerud	39	12	Norway	2016
Olena Pavlukhina	40	12	Azerbaijan	2016
Samantha Sanders	41	12	South Africa	2016
Diana Penuela	42	12	Colombia	2016
Ganna Solovei	43	12	Ukraine	2016
Yusseli Mendivil	44	12	Mexico	2016
Urska Pintar	45	12	Slovenia	2016
Alice Barnes	46	12	Great Britain	2016
Julie Leth	47	12	Denmark	2016
Tiffany Cromwell	48	12	Australia	2016
Emma Johansson	49	12	Sweden	2016
Chantal van den Broek-Blaak	50	12	Netherlands	2016
Katrin Garfoot	51	12	Australia	2016
Stephanie Pohl	52	12	Germany	2016
Annemiek van Vleuten	53	12	Netherlands	2016
