name	result	time_in_seconds	nationality	year
Catherine Marsal	1	7207	France	1990
Ruthie Matthes	2	204	United States	1990
Luisa Seghezzi	3	204	Italy	1990
Karen Holliday	4	204	New Zealand	1990
Luzia Zberg	5	204	Switzerland	1990
Natalia Bakanova	6	204	Russia	1990
Kristel Werckx	7	204	Belgium	1990
Cynthia Lutke Schipholt	8	204	Netherlands	1990
Kathleen Shannon	9	204	Australia	1990
Imelda Chiappa	10	204	Italy	1990
Sylvie Slos	11	204	Belgium	1990
Cecile Odin	12	204	France	1990
Karina Skibby	13	204	Denmark	1990
Evelyne Muller	14	204	Switzerland	1990
Kathryn Watt	15	204	Australia	1990
Corinne Le Gal	16	204	France	1990
Eva Orvosova	17	204	Slovakia	1990
Belen Cuevas	18	204	Spain	1990
Monica Bandini	19	204	Italy	1990
Tea Vikstedt-Nyman	20	204	Finland	1990
Pascale Ranucci	21	204	France	1990
Madonna Harris	22	204	New Zealand	1990
Agnes Loohuis-Damveld	23	204	Netherlands	1990
Susan Ehlers	24	204	United States	1990
Maria Canins	25	204	Italy	1990
Jacqui Uttien	26	204	Australia	1990
Aleksandra Koliaseva	27	302	Russia	1990
Kelly-Ann Way	28	302	Canada	1990
Chely Alvarez	29	302	Spain	1990
Maryanne Shaw	30	465	Australia	1990
Denise Kelly	31	465	Canada	1990
Astrid Schop	32	465	Netherlands	1990
Tamara Polyakova	33	465	Ukraine	1990
Svetlana Mintianskaya	34	465	Russia	1990
Cora Westland	35	465	Netherlands	1990
Sandra Kotre	36	501	Germany	1990
Petra de Boer-Grimbergen	37	650	Netherlands	1990
Sara Neil	38	650	Canada	1990
Claudia Carvalho	39	714	Brazil	1990
Marie Holjer	40	714	Sweden	1990
Maria Hawkins	41	714	Canada	1990
Natalia Melekhina	42	714	Russia	1990
Gabriella Ermon	43	714	Italy	1990
Raquel Aberasturi	44	714	Spain	1990
Sally Fraser	45	716	New Zealand	1990
Conchita Carbayeda	46	716	Spain	1990
Yvonne Elkuch	47	716	Liechtenstein	1990
Hanne Malmberg	48	746	Denmark	1990
Viola Paulitz-Muller	49	749	Germany	1990
Heidi Van De Vijver	50	839	Belgium	1990
Roselyne Riou	51	843	France	1990
Alison Sydor	52	897	Canada	1990
Katrin Ranger	53	906	Germany	1990
Heidi Metzger	54	995	Germany	1990
Dori Ruano	55	1060	Spain	1990
Ann-Maree Collis	56	1060	Australia	1990
Ai Toma	57	1060	Japan	1990
Elisabeth Westman	58	1060	Sweden	1990
Jutta Niehaus	59	1060	Germany	1990
Helena Norrman	60	1060	Sweden	1990
Junko Murakami	61	1286	Japan	1990
Jill Smith	62	1286	Canada	1990
Manon de Rooij	63	1345	Netherlands	1990
Hirono Hori	64	1622	Japan	1990
Nathalie Cantet	65	0	France	1990
Joane Somarriba	DNF	0	Spain	1990
Paula Westher	DNF	0	Sweden	1990
Christina Vosveld	DNF	0	Sweden	1990
Eve Stephenson	DNF	0	United States	1990
Linda Brenneman	DNF	0	United States	1990
Rasa Polikeviciute	DNF	0	Lithuania	1990
Valeria Cappellotto	DNF	0	Italy	1990
Dede Demet-Barry	DNF	0	United States	1990
Inga Thompson	DNF	0	United States	1990
Jeanette Matt	DNF	0	Germany	1990
