name	result	time_in_seconds	nationality	year
Joane Somarriba	1	1703	Spain	2003
Judith Arndt	2	10	Germany	2003
Zulfiya Zabirova	3	26	Kazakhstan	2003
Karin Thurig	4	27	Switzerland	2003
Genevieve Jeanson	5	48	Canada	2003
Jeannie Longo	6	58	France	2003
Lada Kozlikova	7	61	Czech Republic	2003
Dede Demet-Barry	8	76	United States	2003
Dori Ruano	9	82	Spain	2003
Edita Pucinskaite	10	84	Lithuania	2003
Edwige Pitel	11	90	France	2003
Olga Zabelinskaya	12	97	Uzbekistan	2003
Kristin Armstrong	13	101	United States	2003
Mirjam Melchers	14	103	Netherlands	2003
Lyne Bessette	15	108	Canada	2003
Olivia Gollan	16	109	Australia	2003
Vera Carrara	17	111	Italy	2003
Sara Carrigan	18	117	Australia	2003
Meifang Li	19	118	China	2003
Frances Newstead	20	123	Great Britain	2003
Hanka Kupfernagel	21	130	Germany	2003
Ana Paola Madrinan	22	134	Colombia	2003
Leah Goldstein	23	134	Canada	2003
Christiane Soeder	24	137	Austria	2003
Susanne Ljungskog	25	137	Sweden	2003
Svetlana Stolbova	26	144	Russia	2003
Nicole Brandli	27	147	Switzerland	2003
Anna Zugno	28	149	Italy	2003
Kirsty Nicole Robb	29	152	New Zealand	2003
Bogumi?a Matusiak	30	156	Poland	2003
Rasa Polikeviciute	31	169	Lithuania	2003
Anita Valen	32	180	Norway	2003
Natalya Kachalka	33	190	Ukraine	2003
Loes Gunnewijk	34	200	Netherlands	2003
Sinead Jennings	35	217	Ireland	2003
Wendy Houvenaghel	36	233	Great Britain	2003
Corine Hierckens	37	233	Belgium	2003
Andrea Graus	38	237	Austria	2003
Evy Van Damme	39	239	Belgium	2003
Junying Zhang	40	241	China	2003
Melissa Holt	41	242	New Zealand	2003
Joanna Ignasiak	42	294	Poland	2003
Erika Csomor	43	300	Hungary	2003
