name	result	time_in_seconds	nationality	year
Julian Alaphilippe	1	21394	France	2021
Dylan van Baarle	2	32	Netherlands	2021
Michael Valgren	3	32	Denmark	2021
Jasper Stuyven	4	32	Belgium	2021
Neilson Powless	5	32	United States	2021
Thomas Pidcock	6	49	Great Britain	2021
Zdenek Stybar	7	66	Czech Republic	2021
Mathieu van der Poel	8	78	Netherlands	2021
Florian Senechal	9	78	France	2021
Sonny Colbrelli	10	78	Italy	2021
Wout van Aert	11	78	Belgium	2021
Markus Hoelgaard	12	78	Norway	2021
Valentin Madouas	13	78	France	2021
Matej Mohoric	14	240	Slovenia	2021
Giacomo Nizzolo	15	245	Italy	2021
Nils Politt	16	325	Germany	2021
Guillaume Boivin	17	325	Canada	2021
Jan Polanc	18	325	Slovenia	2021
Benoit Cosnefroy	19	330	France	2021
Victor Campenaerts	20	330	Belgium	2021
Alexander Kristoff	21	387	Norway	2021
Mike Teunissen	22	387	Netherlands	2021
Ivan Garcia Cortina	23	387	Spain	2021
Diego Ulissi	24	387	Italy	2021
Michael Matthews	25	387	Australia	2021
Peter Sagan	26	387	Slovakia	2021
Dylan Teuns	27	387	Belgium	2021
Sebastian Schonberger	28	387	Austria	2021
Bauke Mollema	29	387	Netherlands	2021
Luka Mezgec	30	387	Slovenia	2021
Tiesj Benoot	31	387	Belgium	2021
Petr Vakoc	32	387	Czech Republic	2021
Sven Erik Bystrøm	33	387	Norway	2021
Vegard Stake Laengen	34	387	Norway	2021
Ethan Hayter	35	387	Great Britain	2021
Micha? Kwiatkowski	36	387	Poland	2021
Tadej Pogacar	37	387	Slovenia	2021
Patrick Gamper	38	387	Austria	2021
Rui Oliveira	39	387	Portugal	2021
Artem Nych	40	391	Russia	2021
Stefan Kung	41	391	Switzerland	2021
Gorka Izagirre	42	391	Spain	2021
Imanol Erviti	43	391	Spain	2021
Gonzalo Serrano	44	391	Spain	2021
Silvan Dillier	45	391	Switzerland	2021
Cesare Benedetti	46	391	Poland	2021
Joao Almeida	47	391	Portugal	2021
Primoz Roglic	48	391	Slovenia	2021
Yukiya Arashiro	49	391	Japan	2021
Merhawi Kudus	50	391	Eritrea	2021
Rasmus Tiller	51	391	Norway	2021
Emils Liepins	52	391	Latvia	2021
Carlos Rodriguez	53	399	Spain	2021
Michael Gogl	54	400	Austria	2021
Nelson Oliveira	55	400	Portugal	2021
Arnaud Demare	56	408	France	2021
Lawson Craddock	57	409	United States	2021
Gianni Moscon	58	412	Italy	2021
Roger Adria	59	424	Spain	2021
Toms Skujins	60	427	Latvia	2021
Yves Lampaert	61	442	Belgium	2021
Remco Evenepoel	62	442	Belgium	2021
Fabian Lienhard	63	943	Switzerland	2021
Esteban Chaves	64	943	Colombia	2021
Nelson Andres Soto	65	1038	Colombia	2021
Pascal Eenkhoorn	66	1038	Netherlands	2021
Nikias Arndt	67	1038	Germany	2021
Georg Zimmermann	68	1038	Germany	2021
Nick Schultz	DNF	0	Australia	2021
Luke Durbridge	DNF	0	Australia	2021
Nathan Haas	DNF	0	Australia	2021
Robert Stannard	DNF	0	Australia	2021
Miles Scotson	DNF	0	Australia	2021
Caleb Ewan	DNF	0	Australia	2021
Harry Sweeny	DNF	0	Australia	2021
Alvaro Jose Hodeg	DNF	0	Colombia	2021
Jose Tito Hernandez	DNF	0	Colombia	2021
Fernando Gaviria	DNF	0	Colombia	2021
Sergio Higuita	DNF	0	Colombia	2021
Juan Sebastian Molano	DNF	0	Colombia	2021
Rigoberto Uran	DNF	0	Colombia	2021
Odd Christian Eiking	DNF	0	Norway	2021
Kasper Asgreen	DNF	0	Denmark	2021
Mads Wurtz Schmidt	DNF	0	Denmark	2021
Magnus Cort	DNF	0	Denmark	2021
Mads Pedersen	DNF	0	Denmark	2021
Mikkel Bjerg	DNF	0	Denmark	2021
Mikkel Frølich Honore	DNF	0	Denmark	2021
Andreas Kron	DNF	0	Denmark	2021
Antoine Duchesne	DNF	0	Canada	2021
Nickolas Zukowsky	DNF	0	Canada	2021
Pier-Andre Cote	DNF	0	Canada	2021
Hugo Houle	DNF	0	Canada	2021
Benjamin Perry	DNF	0	Canada	2021
Pascal Ackermann	DNF	0	Germany	2021
John Degenkolb	DNF	0	Germany	2021
Maximilian Schachmann	DNF	0	Germany	2021
Alexandr Riabushenko	DNF	0	Belarus	2021
Kim Magnusson	DNF	0	Sweden	2021
Lucas Eriksson	DNF	0	Sweden	2021
Eric Antonio Fagundez	DNF	0	Uruguay	2021
Eder Frayre	DNF	0	Mexico	2021
Yuriy Natarov	DNF	0	Kazakhstan	2021
Daniil Fominykh	DNF	0	Kazakhstan	2021
Dmitriy Gruzdev	DNF	0	Kazakhstan	2021
Yevgeniy Gidich	DNF	0	Kazakhstan	2021
Fred Wright	DNF	0	Great Britain	2021
Luke Rowe	DNF	0	Great Britain	2021
Mark Cavendish	DNF	0	Great Britain	2021
Connor Swift	DNF	0	Great Britain	2021
Jake Stewart	DNF	0	Great Britain	2021
Ben Swift	DNF	0	Great Britain	2021
Robin Carpenter	DNF	0	United States	2021
Brandon McNulty	DNF	0	United States	2021
Matteo Jorgenson	DNF	0	United States	2021
Quinn Simmons	DNF	0	United States	2021
Anatoliy Budyak	DNF	0	Ukraine	2021
Andriy Kulyk	DNF	0	Ukraine	2021
