name	result	time_in_seconds	nationality	year
Tobias Foss	1	2402	Norway	2022
Stefan Kung	2	3	Switzerland	2022
Remco Evenepoel	3	9	Belgium	2022
Ethan Hayter	4	40	Great Britain	2022
Stefan Bissegger	5	47	Switzerland	2022
Tadej Pogacar	6	48	Slovenia	2022
Filippo Ganna	7	56	Italy	2022
Nelson Oliveira	8	59	Portugal	2022
Yves Lampaert	9	69	Belgium	2022
Bruno Armirail	10	70	France	2022
Remi Cavagna	11	75	France	2022
Luke Plapp	12	84	Australia	2022
Edoardo Affini	13	88	Italy	2022
Mikkel Bjerg	14	90	Denmark	2022
Matteo Sobrero	15	94	Italy	2022
Nikias Arndt	16	103	Germany	2022
Magnus Sheffield	17	104	United States	2022
Maciej Bodnar	18	109	Poland	2022
Derek Gee	19	119	Canada	2022
Miguel Heidemann	20	121	Germany	2022
Magnus Cort	21	127	Denmark	2022
Neilson Powless	22	129	United States	2022
Daan Hoole	23	135	Netherlands	2022
Andreas Leknessund	24	138	Norway	2022
Bauke Mollema	25	138	Netherlands	2022
Matteo Dal-Cin	26	142	Canada	2022
Alexey Lutsenko	27	143	Kazakhstan	2022
Yevgeniy Fedorov	28	185	Kazakhstan	2022
Oier Lazkano	29	189	Spain	2022
Ognjen Ilic	30	196	Serbia	2022
Rodrigo Contreras	31	202	Colombia	2022
Yuriy Natarov	32	233	Kazakhstan	2022
Venantas Lasinis	33	274	Lithuania	2022
Daniel Bonello	34	295	Malta	2022
Christofer Robin Jurado	35	334	Panama	2022
Bolivar Espinoza	36	352	Panama	2022
Vitalii Novakowskyi	37	356	Ukraine	2022
Wan Yau Vincent Lau	38	366	Hongkong	2022
Bilguunjargal Erdenebat	39	401	Mongolia	2022
Aiman Cahyadi	40	402	Indonesia	2022
Muhammad Abdurrahman	41	413	Indonesia	2022
Alexander Smyth	42	432	Malta	2022
Mykhaylo Kononenko	43	447	Ukraine	2022
Sum Lui Ng	44	456	Hongkong	2022
Darel Christopher	45	547	Virgin Islands	2022
Changquan Xu	46	577	China	2022
Edward Oingerang	47	703	Guam	2022
Drabir Alam	48	1151	Bangladesh	2022
Joao Almeida	DNS	0	Portugal	2022
Luke Durbridge	DNS	0	Australia	2022
Gustav Basson	DNS	0	South Africa	2022
